Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
2.0,15,6,14,35,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,18,5,7,5,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,27,6,10,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,21,5,15,5,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.0,18,5,14,15,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,6,3,7,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3,6,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,21,5,7,5,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,15,3,6,45,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,18,5,20,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,6,5,11,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,21,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,24,3,5,45,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.0,27,5,4,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,3,5,11,40,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,15,5,19,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,27,6,23,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,9,3,11,0,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,5,9,35,55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,24,3,22,20,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,18,6,21,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,3,4,23,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,24,3,19,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,1,3,8,50,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,6,3,7,5,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1.0,6,5,19,0,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,3,15,40,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1.0,6,6,9,25,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,3,4,6,5,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,3,6,8,45,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,15,5,15,0,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,24,5,7,5,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1.0,24,6,10,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,24,4,9,45,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.0,6,5,13,55,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.0,21,5,5,55,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,12,3,13,20,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1,6,7,5,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,9,3,5,45,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,24,6,11,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,24,6,23,5,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,21,3,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,9,3,9,50,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,3,4,11,40,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,3,4,6,25,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,15,6,17,30,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,21,3,8,20,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1.0,9,6,21,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,24,3,19,55,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,6,5,6,30,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,27,6,11,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,18,5,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,3,14,5,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,24,6,2,0,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,6,6,9,40,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,4,8,25,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,24,5,20,25,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,27,5,13,15,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,3,2,15,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,12,3,16,55,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,6,3,5,55,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,21,4,20,45,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,21,6,5,15,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,15,5,5,55,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,3,6,19,50,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,18,6,7,5,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.0,12,6,20,0,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,15,5,8,25,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,9,6,20,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,24,6,20,55,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,12,5,14,35,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,1,5,6,10,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,18,5,19,30,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,27,3,11,40,50,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,27,3,4,45,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,9,5,12,55,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,24,5,23,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,18,3,14,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,12,4,18,55,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,12,5,20,20,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.0,6,3,18,15,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,27,6,7,0,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,18,5,7,5,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,3,17,20,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,3,3,15,25,35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,12,6,7,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,9,5,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,9,4,5,55,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,3,5,15,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,6,5,20,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1,3,23,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,12,5,5,15,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2.0,21,5,12,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,12,6,14,5,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,6,5,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,24,6,4,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,3,6,14,45,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,21,3,11,50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,15,6,11,30,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,12,5,14,40,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0.0,15,6,20,25,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,21,5,11,30,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,18,5,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,6,6,6,45,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,27,6,22,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,24,5,6,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3,3,8,0,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,9,4,17,30,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,6,23,30,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,15,6,2,0,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,9,6,7,35,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,21,5,13,5,55,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,21,5,20,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,3,6,20,0,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,3,4,12,30,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,24,6,15,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,9,6,12,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,3,4,22,20,40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.0,21,3,18,25,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,27,6,11,40,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,12,5,8,25,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,24,5,20,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,9,5,8,20,55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,27,6,20,0,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,3,3,18,55,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,12,5,16,30,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,6,3,2,15,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,5,9,35,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,24,3,0,40,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,9,6,12,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,9,5,6,50,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,12,6,8,45,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1.0,27,5,13,0,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,3,3,13,55,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.0,21,5,5,55,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.0,27,3,19,15,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,27,5,1,30,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3,4,14,0,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,18,4,18,5,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,9,6,9,35,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,27,6,11,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,5,21,10,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,12,6,16,30,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,3,4,20,25,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,21,5,17,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.0,6,5,14,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,21,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,6,10,0,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,27,3,19,35,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,15,5,16,0,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,5,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,12,5,14,45,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,24,6,8,45,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1.0,27,6,21,50,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,6,9,35,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,3,6,15,30,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,12,6,11,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3,3,12,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,27,3,5,15,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,24,6,16,10,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,27,6,18,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,12,3,20,35,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,27,6,9,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1.0,12,6,16,30,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,24,6,9,0,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,18,3,13,20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,27,3,7,5,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,24,3,22,25,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,3,6,21,5,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,24,4,5,35,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,18,5,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,3,6,6,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,18,4,15,15,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,27,3,16,0,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,27,6,17,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,21,5,14,5,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,18,5,23,5,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,12,5,0,30,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,6,6,6,5,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,6,7,5,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,3,6,8,30,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,6,5,10,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,24,6,8,45,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,9,6,7,10,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.0,1,6,1,30,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,12,5,15,15,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,9,6,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,12,4,10,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,12,6,9,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,18,3,7,10,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,9,5,10,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,9,6,5,30,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,6,6,14,25,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,3,3,5,25,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,27,4,23,30,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,21,5,5,45,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0.0,27,5,10,20,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,24,3,16,50,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,12,4,20,45,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,18,5,13,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,9,3,2,15,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,5,21,50,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,1,5,10,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,6,3,18,15,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,18,5,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,15,3,18,25,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,24,6,8,45,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,18,3,11,40,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,6,6,6,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,9,6,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,12,6,9,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.0,18,3,7,5,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0.0,24,4,23,30,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,9,6,19,15,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,15,5,10,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,27,6,17,45,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1.0,6,6,8,45,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
